record_id,date,day_of_week,warehouse_id,warehouse_name,city,zone,product_id,product_name,category,subcategory,brand,unit_price_inr,cost_price_inr,opening_stock,units_sold,units_returned,return_reason,damaged_units,closing_stock,reorder_level,max_capacity,restock_quantity,availability_status,storage_type,shelf_life_days,expiry_date,supplier_name,delivery_time_mins,customer_rating,revenue_inr,profit_inr
1,2026-06-01,Monday,WH001,Pune Hinjewadi Dark Store,Pune,West,P004,Tata Salt 1kg,Grocery,Salt,Tata,28,22,97,20,0,Not Returned,3,77,15,100,0,In Stock,Dry Storage,730,2028-05-31,ITC Supply Chain,12.9,3.7,560,120
2,2026-06-01,Monday,WH001,Pune Hinjewadi Dark Store,Pune,West,P001,Amul Toned Milk 1L,Dairy,Milk,Amul,62,54,71,19,0,Not Returned,0,52,30,200,0,In Stock,Cold Storage,5,2026-06-06,Reliance Retail Wholesale,15.6,4.8,1178,152
3,2026-06-01,Monday,WH001,Pune Hinjewadi Dark Store,Pune,West,P009,Fortune Sunflower Oil 1L,Grocery,Cooking Oil,Fortune,165,148,26,2,0,Not Returned,0,24,30,200,20,Low Stock,Dry Storage,365,2027-06-01,National FMCG Supplies,9.6,3.8,330,34
4,2026-06-01,Monday,WH001,Pune Hinjewadi Dark Store,Pune,West,P008,Lays Classic 52g,Snacks,Chips,Lays,20,16,88,77,2,Wrong Item Delivered,0,13,30,200,80,Low Stock,Dry Storage,150,2026-10-29,FreshFarm Distributors,12.6,4.3,1540,308
5,2026-06-01,Monday,WH001,Pune Hinjewadi Dark Store,Pune,West,P022,McCain French Fries 420g,Frozen Food,Frozen Snacks,McCain,149,125,137,15,0,Not Returned,1,122,37,250,0,In Stock,Frozen,365,2027-06-01,ITC Supply Chain,8.0,3.9,2235,360
6,2026-06-01,Monday,WH001,Pune Hinjewadi Dark Store,Pune,West,P005,Aashirvaad Atta 5kg,Grocery,Atta,Aashirvaad,289,255,70,37,1,Not Returned,0,34,15,100,0,In Stock,Dry Storage,120,2026-09-29,Local Vendor Network,11.9,4.7,10693,1258
7,2026-06-01,Monday,WH001,Pune Hinjewadi Dark Store,Pune,West,P025,Huggies Diapers Medium 34pc,Baby Care,Diapers,Huggies,599,510,98,8,0,Not Returned,1,90,45,300,0,In Stock,Dry Storage,1095,2029-05-31,FreshFarm Distributors,9.4,4.4,4792,712
8,2026-06-01,Monday,WH001,Pune Hinjewadi Dark Store,Pune,West,P018,Mother Dairy Curd 400g,Dairy,Curd,Mother Dairy,40,33,74,10,0,Not Returned,0,64,22,150,0,In Stock,Cold Storage,7,2026-06-08,Reliance Retail Wholesale,11.3,4.9,400,70
9,2026-06-01,Monday,WH001,Pune Hinjewadi Dark Store,Pune,West,P003,Britannia Brown Bread,Bakery,Bread,Britannia,45,36,48,17,2,Customer Changed Mind,1,33,15,100,0,In Stock,Dry Storage,4,2026-06-05,Local Vendor Network,9.2,4.5,765,153
10,2026-06-01,Monday,WH001,Pune Hinjewadi Dark Store,Pune,West,P014,Surf Excel 1kg,Household,Detergent,Surf Excel,135,112,94,45,1,Expired Product,0,50,22,150,0,In Stock,Dry Storage,730,2028-05-31,Amul Cooperative,10.1,4.2,6075,1035
11,2026-06-01,Monday,WH001,Pune Hinjewadi Dark Store,Pune,West,P024,Pedigree Dog Food 1kg,Pet Care,Pet Food,Pedigree,240,205,77,21,0,Not Returned,2,56,15,100,0,In Stock,Dry Storage,365,2027-06-01,Reliance Retail Wholesale,13.5,4.0,5040,735
12,2026-06-01,Monday,WH001,Pune Hinjewadi Dark Store,Pune,West,P015,Colgate Toothpaste 150g,Personal Care,Oral Care,Colgate,95,78,118,48,2,Wrong Item Delivered,1,72,22,150,0,In Stock,Dry Storage,730,2028-05-31,Reliance Retail Wholesale,7.3,3.8,4560,816
13,2026-06-01,Monday,WH001,Pune Hinjewadi Dark Store,Pune,West,P002,Amul Butter 500g,Dairy,Butter,Amul,275,245,196,7,1,Expired Product,3,190,30,200,0,In Stock,Cold Storage,180,2026-11-28,FreshFarm Distributors,13.2,3.6,1925,210
14,2026-06-01,Monday,WH001,Pune Hinjewadi Dark Store,Pune,West,P019,Fresh Onion 1kg,Fruits & Vegetables,Vegetables,Local Farm,35,24,102,34,0,Not Returned,0,68,30,200,0,In Stock,Cold Storage,15,2026-06-16,National FMCG Supplies,11.5,4.0,1190,374
15,2026-06-01,Monday,WH001,Pune Hinjewadi Dark Store,Pune,West,P012,Nescafe Classic Coffee 50g,Beverages,Coffee,Nescafe,175,152,145,40,1,Expired Product,1,106,22,150,0,In Stock,Dry Storage,365,2027-06-01,HUL Direct Distribution,9.6,3.9,7000,920
16,2026-06-01,Monday,WH001,Pune Hinjewadi Dark Store,Pune,West,P023,Amul Ice Cream 700ml,Frozen Food,Ice Cream,Amul,210,178,226,58,2,Expired Product,1,170,37,250,0,In Stock,Frozen,180,2026-11-28,Amul Cooperative,14.2,4.7,12180,1856
17,2026-06-01,Monday,WH001,Pune Hinjewadi Dark Store,Pune,West,P016,Dove Soap 100g,Personal Care,Bath,Dove,55,45,63,33,0,Not Returned,3,30,22,150,0,In Stock,Dry Storage,730,2028-05-31,ITC Supply Chain,9.0,3.5,1815,330
18,2026-06-01,Monday,WH001,Pune Hinjewadi Dark Store,Pune,West,P011,Real Fruit Juice 1L,Beverages,Juice,Real,110,92,204,46,3,Expired Product,3,161,45,300,0,In Stock,Dry Storage,180,2026-11-28,Metro Cash Carry,12.8,4.6,5060,828
19,2026-06-01,Monday,WH001,Pune Hinjewadi Dark Store,Pune,West,P006,Maggi Noodles 70g,Instant Food,Noodles,Nestle,14,11,252,11,1,Damaged Packaging,0,242,45,300,0,In Stock,Dry Storage,270,2027-02-26,National FMCG Supplies,8.5,4.8,154,33
20,2026-06-01,Monday,WH001,Pune Hinjewadi Dark Store,Pune,West,P007,Coca-Cola 750ml,Beverages,Soft Drinks,Coca-Cola,40,32,40,27,1,Quality Issue,0,14,22,150,0,Low Stock,Dry Storage,270,2027-02-26,ITC Supply Chain,10.1,3.6,1080,216
21,2026-06-01,Monday,WH001,Pune Hinjewadi Dark Store,Pune,West,P020,Fresh Tomato 1kg,Fruits & Vegetables,Vegetables,Local Farm,40,26,152,59,1,Quality Issue,1,94,37,250,0,In Stock,Cold Storage,10,2026-06-11,Amul Cooperative,13.4,4.8,2360,826
22,2026-06-01,Monday,WH001,Pune Hinjewadi Dark Store,Pune,West,P021,Banana Robusta 1 Dozen,Fruits & Vegetables,Fruits,Local Farm,55,38,5,5,0,Not Returned,0,0,45,300,50,Out of Stock,Cold Storage,6,2026-06-07,National FMCG Supplies,15.1,4.6,275,85
23,2026-06-01,Monday,WH001,Pune Hinjewadi Dark Store,Pune,West,P010,Cadbury Dairy Milk 55g,Snacks,Chocolate,Cadbury,50,41,136,43,3,Damaged Packaging,1,96,45,300,0,In Stock,Dry Storage,240,2027-01-27,Amul Cooperative,10.9,4.3,2150,387
24,2026-06-01,Monday,WH001,Pune Hinjewadi Dark Store,Pune,West,P013,Haldiram Bhujia 200g,Snacks,Namkeen,Haldiram,65,54,40,29,1,Damaged Packaging,0,12,37,250,50,Low Stock,Dry Storage,120,2026-09-29,Amul Cooperative,15.7,3.7,1885,319
