Month,Category,Search_Interest,Engagement_Score,Ad_Spend_Index
2026-01,AI Tools,57.5,56.7,41.6
2026-02,AI Tools,57.3,42.3,48.9
2026-03,AI Tools,59.7,47.7,35.2
2026-04,AI Tools,55.9,51.3,25.0
2026-05,AI Tools,64.5,52.6,52.7
2026-06,AI Tools,65.4,61.6,35.1
2026-07,AI Tools,73.0,70.2,49.3
2026-08,AI Tools,74.2,52.3,58.3
2026-09,AI Tools,84.0,71.3,51.2
2026-10,AI Tools,87.4,61.2,46.8
2026-11,AI Tools,87.7,74.4,64.2
2026-12,AI Tools,91.6,68.6,76.0
2026-01,Crypto,35.8,36.5,24.9
2026-02,Crypto,39.6,36.2,26.3
2026-03,Crypto,40.6,33.4,33.4
2026-04,Crypto,49.2,59.7,29.3
2026-05,Crypto,42.4,34.1,29.0
2026-06,Crypto,44.3,35.9,26.5
2026-07,Crypto,39.0,40.3,35.7
2026-08,Crypto,45.1,50.2,39.5
2026-09,Crypto,40.5,31.1,28.3
2026-10,Crypto,45.8,24.2,28.4
2026-11,Crypto,43.3,44.2,34.8
2026-12,Crypto,46.4,39.2,22.1
2026-01,Fitness,50.3,43.6,30.0
2026-02,Fitness,52.3,40.7,31.2
2026-03,Fitness,57.3,47.8,51.0
2026-04,Fitness,45.4,40.6,38.2
2026-05,Fitness,48.2,32.9,29.3
2026-06,Fitness,54.3,53.7,31.9
2026-07,Fitness,50.9,53.5,46.6
2026-08,Fitness,49.4,54.9,39.7
2026-09,Fitness,57.7,50.6,39.0
2026-10,Fitness,58.7,63.8,36.2
2026-11,Fitness,59.5,39.6,41.0
2026-12,Fitness,61.2,61.0,32.6
2026-01,Travel,50.8,46.3,45.9
2026-02,Travel,55.7,37.0,30.2
2026-03,Travel,47.0,50.7,35.4
2026-04,Travel,55.9,47.8,43.9
2026-05,Travel,44.4,49.3,38.3
2026-06,Travel,54.6,38.2,51.3
2026-07,Travel,48.0,45.4,30.9
2026-08,Travel,47.2,52.6,32.5
2026-09,Travel,54.9,54.3,48.0
2026-10,Travel,61.1,54.2,47.9
2026-11,Travel,59.6,72.3,49.1
2026-12,Travel,61.5,61.4,27.0
2026-01,Gaming,57.6,51.3,44.0
2026-02,Gaming,51.6,34.1,35.3
2026-03,Gaming,55.8,55.0,30.0
2026-04,Gaming,55.8,55.3,53.0
2026-05,Gaming,48.7,50.1,26.4
2026-06,Gaming,57.9,38.8,39.6
2026-07,Gaming,55.8,49.4,38.8
2026-08,Gaming,62.5,68.7,53.1
2026-09,Gaming,50.0,40.7,41.9
2026-10,Gaming,61.2,54.4,38.4
2026-11,Gaming,55.7,44.2,39.8
2026-12,Gaming,57.4,48.9,57.7
2026-01,Movies,43.1,32.8,32.9
2026-02,Movies,46.3,44.1,40.2
2026-03,Movies,59.1,57.7,39.8
2026-04,Movies,45.5,35.8,21.3
2026-05,Movies,45.9,36.8,39.3
2026-06,Movies,50.5,48.3,32.4
2026-07,Movies,52.9,59.9,40.3
2026-08,Movies,46.4,43.5,35.5
2026-09,Movies,56.1,46.5,49.5
2026-10,Movies,49.1,58.8,37.7
2026-11,Movies,45.0,39.9,38.5
2026-12,Movies,53.3,37.2,38.4
