Order_ID,Product_ID,Product_Name,Category,Sub_Category,Brand,Price,Discount_Percent,Final_Price,Rating,Number_of_Ratings,Size,Color,Student_Discount_Applied,Payment_Mode,Order_Date,Delivery_Days,City,Return_Status
100204,MYN1203,Nike Sports Shoes Pro,Footwear,Sports Shoes,Nike,4002,0,4002.0,2.7,3457.0,8,Black,False,Net Banking,2025-04-19,4.0,,Not Returned
100267,MYN1266,boAt Smart Watches Sport,Electronics,Smart Watches,boAt,5523,0,5523.0,3.8,4009.0,Free Size,Beige,False,Credit Card,2025-01-12,4.0,Hyderabad,Exchanged
100153,MYN1152,JBL Bluetooth Speakers Pro,Electronics,Bluetooth Speakers,JBL,1151,30,805.7,4.7,159.0,Free Size,Blue,False,Net Banking,2025-07-05,6.0,Bangalore,Returned
100010,MYN1009,Levis Sweatshirts Classic,Topwear,Sweatshirts,Levis,2150,30,1505.0,2.8,2691.0,XXL,Maroon,False,Debit Card,2025-01-01,6.0,Delhi,Not Returned
100234,MYN1233,Roadster Jackets Edition,Winterwear,Jackets,Roadster,1042,40,625.2,2.8,4667.0,XL,Navy Blue,True,Cash on Delivery,2025-05-18,4.0,Jaipur,Not Returned
100227,MYN1226,Woodland Sweaters Edition,Winterwear,Sweaters,Woodland,1574,0,1574.0,2.6,4999.0,XL,Maroon,False,UPI,2025-06-12,8.0,,Not Returned
100197,MYN1196,Realme Ear Phones Edition,Electronics,Ear Phones,Realme,4101,50,2050.5,,,Free Size,Grey,True,Debit Card,2025-03-03,9.0,Ahmedabad,Returned
100110,MYN1109,Levis Trousers Pro,Bottomwear,Trousers,Levis,728,30,509.6,3.1,149.0,XXL,Beige,True,Credit Card,2025-01-11,9.0,Delhi,Not Returned
100006,MYN1005,Roadster Trousers Everyday,Bottomwear,Trousers,Roadster,1728,50,864.0,4.0,4912.0,S,Pink,False,Credit Card,2025-01-15,9.0,Pune,Not Returned
100176,MYN1175,Being Human Sweatshirts Casual,Topwear,Sweatshirts,Being Human,1350,50,675.0,3.4,1709.0,M,Red,False,Debit Card,2025-04-16,8.0,Mumbai,Not Returned
100238,MYN1237,Woodland Sweaters Classic,Winterwear,Sweaters,Woodland,3313,30,2319.1,3.0,2286.0,M,Grey,False,Net Banking,2025-04-14,3.0,Ahmedabad,Not Returned
100058,MYN1057,boAt Smart Watches Sport,Electronics,Smart Watches,boAt,1723,0,1723.0,4.9,256.0,Free Size,White,True,Cash on Delivery,2025-07-16,8.0,Pune,Not Returned
100219,MYN1218,Wrangler Track Pants Edition,Bottomwear,Track Pants,Wrangler,1677,40,1006.2,4.5,3260.0,XL,Pink,True,Debit Card,2025-03-01,4.0,Pune,Not Returned
100046,MYN1045,American Tourister Sling Bags Classic,Bags,Sling Bags,American Tourister,2763,60,1105.2,3.8,729.0,Free Size,Olive,False,Cash on Delivery,2025-03-27,6.0,Pune,Not Returned
100183,MYN1182,Flying Machine Trousers Pro,Bottomwear,Trousers,Flying Machine,2795,40,1677.0,3.1,4154.0,M,Maroon,True,Cash on Delivery,2025-01-03,7.0,Ahmedabad,Not Returned
