YearsExperience,Salary
0.3,42500.0
0.5,42700.0
0.7,36100.0
0.7,47500.0
0.9,41000.0
1.0,40000.0
1.3,32400.0
1.5,43900.0
1.8,38200.0
2.1,52600.0
2.3,34800.0
2.3,47400.0
2.6,51600.0
2.7,49100.0
2.8,53500.0
2.8,45600.0
2.9,45500.0
3.0,50700.0
3.2,47500.0
3.9,49400.0
4.4,47600.0
4.4,54400.0
4.6,54400.0
4.6,52800.0
4.7,56700.0
4.9,52200.0
5.5,65800.0
5.6,51300.0
6.5,57600.0
6.6,61600.0
6.8,67800.0
7.4,65300.0
7.7,78900.0
7.8,75900.0
7.9,69400.0
8.2,67700.0
8.9,74800.0
9.0,75500.0
9.0,71400.0
9.0,81800.0
9.1,60200.0
9.2,81300.0
9.9,82600.0
10.3,90200.0
10.6,86400.0
11.0,81700.0
11.6,78400.0
11.8,84200.0
12.1,77500.0
12.5,86200.0
13.0,91200.0
13.4,96900.0
13.6,98200.0
13.8,95700.0
14.1,100200.0
14.2,97100.0
14.3,95000.0
14.5,105800.0
14.5,100800.0
14.5,97900.0
